iter	RMSE
0	8.637847887
1	8.198416573
2	7.68494387
3	7.30395339
4	6.950547653
5	6.565282544
6	6.201388057
7	5.88395027
8	5.603042885
9	5.386894263
10	5.194871032
11	4.995299679
12	4.78691402
13	4.632255442
14	4.438053866
15	4.308832784
16	4.162790098
17	4.028626074
18	3.913488308
19	3.795326588
20	3.70832632
21	3.606157741
22	3.500731229
23	3.415227036
24	3.321869973
25	3.257058253
26	3.185560946
27	3.136107295
28	3.096717866
29	3.052786469
30	2.999091252
31	2.942876146
32	2.887681419
33	2.830935682
34	2.807523169
35	2.772389581
36	2.72689118
37	2.690825088
38	2.660072735
39	2.63581348
40	2.604377394
41	2.566712565
42	2.54228843
43	2.508904052
44	2.471787573
45	2.441659654
46	2.407866313
47	2.38910633
48	2.371715768
49	2.353999038
50	2.332426458
51	2.320242574
52	2.294992018
53	2.272363054
54	2.247500913
55	2.230464022
56	2.213361244
57	2.19978929
58	2.182941881
59	2.171484772
60	2.152020297
61	2.13281079
62	2.124092339
63	2.114570388
64	2.09698207
65	2.087348196
66	2.076754104
67	2.064904053
68	2.052222575
69	2.038941023
70	2.021757763
71	2.006694696
72	1.987411946
73	1.975211178
74	1.95951179
75	1.944845199
76	1.934840389
77	1.919915466
78	1.903875498
79	1.889468733
80	1.88385558
81	1.872315189
82	1.863063628
83	1.858031104
84	1.849617636
85	1.837808399
86	1.822013719
87	1.808554243
88	1.799808368
89	1.784537046
90	1.76992599
91	1.755187999
92	1.739299623
93	1.724861808
94	1.708446694
95	1.695838358
96	1.688873742
97	1.677993064
98	1.669085404
99	1.653818488
100	1.641337424
101	1.631937705
102	1.623505423
103	1.612460228
104	1.600783808
105	1.591468369
106	1.57865787
107	1.568186753
108	1.559117983
109	1.551534389
110	1.548055501
111	1.542947984
112	1.533637149
113	1.524574257
114	1.514664822
115	1.508714133
116	1.5046903
117	1.492949264
118	1.48278136
119	1.471812782
120	1.46801809
121	1.462462238
122	1.456583667
123	1.450216417
124	1.439982406
125	1.430814405
126	1.421672787
127	1.409686975
128	1.406042007
129	1.393936526
130	1.385004181
131	1.381904011
132	1.374174859
133	1.371549101
134	1.36681513
135	1.360818719
136	1.35724448
137	1.34878033
138	1.338591344
139	1.328143181
140	1.321124882
141	1.319493475
142	1.313042462
143	1.30708199
144	1.301701412
145	1.296385909
146	1.287699536
147	1.281433517
148	1.278615088
149	1.273280824
150	1.266392742
151	1.258838815
152	1.252230836
153	1.247190202
154	1.23877798
155	1.233784885
156	1.228642007
157	1.2213838
158	1.217853845
159	1.212194063
160	1.207518819
161	1.200446841
162	1.198429989
163	1.191164887
164	1.185432217
165	1.180843137
166	1.177128326
167	1.172966444
168	1.169718272
169	1.164899995
170	1.16075422
171	1.155118249
172	1.14914248
173	1.145953301
174	1.142624257
175	1.139385758
176	1.134058949
177	1.126554036
178	1.123084591
179	1.119020621
180	1.114617435
181	1.110310454
182	1.104555208
183	1.103040385
184	1.095138457
185	1.092962014
186	1.085539767
187	1.082011555
188	1.078033064
189	1.075897915
190	1.070898427
191	1.064475903
192	1.057646135
193	1.055262291
194	1.050091309
195	1.047255771
196	1.041526008
197	1.037759774
198	1.03445706
199	1.029748424
200	1.02685449
201	1.021555316
202	1.017898016
203	1.01563066
204	1.011550674
205	1.005276092
206	0.9995570976
207	0.9958232775
208	0.9938973973
209	0.988576236
210	0.987215844
211	0.9801444639
212	0.9783870628
213	0.9746468859
214	0.9702264355
215	0.9665862549
216	0.9638543201
217	0.9604499295
218	0.9541486284
219	0.9506056761
220	0.9474488813
221	0.9427035912
222	0.9396188619
223	0.9350404248
224	0.9297083984
225	0.927804882
226	0.9249915775
227	0.9205373789
228	0.9172441384
229	0.9140229546
230	0.909731515
231	0.9070411019
232	0.9015069142
233	0.8982373736
234	0.8950758247
235	0.8926184984
236	0.889190581
237	0.8856228996
238	0.8821359813
239	0.8801015309
240	0.8776380189
241	0.8750097773
242	0.8712874104
243	0.8707277794
244	0.8659717975
245	0.8639081215
246	0.8596715643
247	0.8553447777
248	0.8513582281
249	0.8485235998
250	0.8441548008
251	0.840246292
252	0.8367304328
253	0.8335326684
254	0.8292517377
255	0.8265962108
256	0.8246785039
257	0.8231929307
258	0.8192514676
259	0.8173227211
260	0.8138746084
261	0.8102780723
262	0.8065147908
263	0.8040485207
264	0.7989042024
265	0.7968814875
266	0.7945727028
267	0.7938091856
268	0.7907994324
269	0.7876224467
270	0.7867406809
271	0.7823084251
272	0.7781415161
273	0.7760493027
274	0.7735697915
275	0.7729892889
276	0.7697888719
277	0.7661902125
278	0.7637899064
279	0.7614123382
280	0.7590022974
281	0.7554153686
282	0.7544723633
283	0.7532033889
284	0.7510570633
285	0.7479410582
286	0.7451560105
287	0.7449315916
288	0.7432948988
289	0.7400654554
290	0.7380505394
291	0.736268931
292	0.7359957055
293	0.733832012
294	0.7304166293
295	0.7264351848
296	0.7225123251
297	0.7222864086
298	0.7194891684
299	0.7149026212
