iter	Passed	Remaining
0	63	19065
1	65	9694
2	66	6563
3	67	4999
4	68	4054
5	70	3432
6	71	2983
7	72	2658
8	74	2395
9	75	2184
10	76	2011
11	77	1867
12	79	1747
13	80	1643
14	81	1553
15	82	1473
16	84	1403
17	85	1339
18	87	1287
19	88	1244
20	90	1201
21	91	1158
22	92	1119
23	94	1083
24	95	1049
25	96	1018
26	97	990
27	99	963
28	100	938
29	102	918
30	103	896
31	104	875
32	105	856
33	107	837
34	108	820
35	109	804
36	111	789
37	112	773
38	113	760
39	114	746
40	116	734
41	117	722
42	118	710
43	120	698
44	121	687
45	122	676
46	123	666
47	125	656
48	126	647
49	127	637
50	128	628
51	130	620
52	131	613
53	132	604
54	134	596
55	135	589
56	136	581
57	137	574
58	139	567
59	140	561
60	141	554
61	142	548
62	144	541
63	145	536
64	146	530
65	147	524
66	149	518
67	150	513
68	151	507
69	152	502
70	154	497
71	155	492
72	156	487
73	158	482
74	159	477
75	160	474
76	162	469
77	163	465
78	164	460
79	165	456
80	167	451
81	168	447
82	169	443
83	170	439
84	172	435
85	173	431
86	174	427
87	176	424
88	177	420
89	178	416
90	179	412
91	180	409
92	182	405
93	183	402
94	184	398
95	185	395
96	187	391
97	188	388
98	192	391
99	228	456
100	244	482
101	246	478
102	247	473
103	249	469
104	250	464
105	251	460
106	253	456
107	254	452
108	255	448
109	257	444
110	259	441
111	261	438
112	263	435
113	264	431
114	265	427
115	266	423
116	268	419
117	269	415
118	270	411
119	271	407
120	273	404
121	274	400
122	275	397
123	277	393
124	278	389
125	279	386
126	280	382
127	282	379
128	283	375
129	284	372
130	285	368
131	287	365
132	288	362
133	289	359
134	291	355
135	292	352
136	293	349
137	294	346
138	296	342
139	297	339
140	298	336
141	299	333
142	301	330
143	302	327
144	303	324
145	305	321
146	306	319
147	307	316
148	309	313
149	310	310
150	311	307
151	312	304
152	314	301
153	315	299
154	317	296
155	318	294
156	319	291
157	321	288
158	322	286
159	323	283
160	325	280
161	326	278
162	327	275
163	328	272
164	330	270
165	331	267
166	332	265
167	334	262
168	335	259
169	336	257
170	338	255
171	339	252
172	340	249
173	341	247
174	343	245
175	344	242
176	345	240
177	346	237
178	348	235
179	349	232
180	350	230
181	351	228
182	353	225
183	354	223
184	355	221
185	356	218
186	358	216
187	359	214
188	361	212
189	362	209
190	363	207
191	364	205
192	366	202
193	367	200
194	368	198
195	370	196
196	371	194
197	372	191
198	373	189
199	375	187
200	376	185
201	377	183
202	379	181
203	380	179
204	381	176
205	382	174
206	384	172
207	385	170
208	386	168
209	387	166
210	389	164
211	391	162
212	392	160
213	394	158
214	395	156
215	396	154
216	397	152
217	399	150
218	401	148
219	402	146
220	404	144
221	405	142
222	406	140
223	408	138
224	409	136
225	410	134
226	411	132
227	413	130
228	414	128
229	415	126
230	417	124
231	418	122
232	420	120
233	421	118
234	422	116
235	424	115
236	425	113
237	426	111
238	427	109
239	429	107
240	430	105
241	431	103
242	433	101
243	434	99
244	435	97
245	436	95
246	438	94
247	439	92
248	440	90
249	441	88
250	443	86
251	444	84
252	445	82
253	446	80
254	448	79
255	449	77
256	450	75
257	452	73
258	453	71
259	454	69
260	456	68
261	457	66
262	458	64
263	459	62
264	461	60
265	462	59
266	464	57
267	466	55
268	467	53
269	468	52
270	469	50
271	471	48
272	472	46
273	473	44
274	474	43
275	476	41
276	477	39
277	478	37
278	480	36
279	481	34
280	482	32
281	483	30
282	485	29
283	486	27
284	487	25
285	488	23
286	489	22
287	491	20
288	492	18
289	493	17
290	495	15
291	496	13
292	497	11
293	498	10
294	500	8
295	501	6
296	502	5
297	503	3
298	505	1
299	506	0
